28521,B05,BLK 457
21319,B13,OPP TRACTOR RD
65271,B08,OPP BLK 188
10289,B08,OPP SIS BLDG
25509,B02,OPP WEE WEE HUP KEE
22271,B01,JEBSEN \& JESSEN
01013,B05,ST JOSEPH'S CH
28651,B01,OPP IMM BLDG
58061,B31,AFT THE ASHRAM
70071,B05,CYCLE & CARRIAGE
15051,B20,ALEXANDRA PT
51029,B14,OPP OLD POLICE ACADEMY
24011,B26,ALLIED SIGNAL S'PORE
73029,B26,OPP LP 223R10
67041,B28,AFT JLN KAYU
46339,B03,BLK 370
22431,B02,OPP PAR INVESTMENT
46809,NIL,OPP WOODLANDS MART
54059,B08,BEF ANG MO KIO LIB
18129,B07,AYER RAJAH IND EST
47551,B05,BLK 630
70291,B03,
18099,B08,AYER RAJAH BUS PK
67601,NIL,BUANGKOK STN
46749,B03,OPP SEAGATE
81199,B02,NORTHLIGHT SCH
64029,B10,OPP BLK 458
56061,B29,AFT NTUC FAIRPRICE CTR
29041,B03,BAN JOO
84011,B01,CHAI CHEE IND PK
44651,B10,BLK 617
80259,B02,AFT CHEN LI PRESBY CH
45041,B13,THONG HUAT BROS PTE LTD
43311,B06,MIDVIEW BLDG
42039,B30,OPP THE NEXUS
65059,B12,ST ANNE'S CH
16171,B06,YUSOF ISHAK HSE
67469,B01A,BEF SENGKANG EAST AVE
48131,B01,S'PORE ZOOLOGICAL GDNS
61101,NIL,BLK 120
83101,B01,EUNOS STN
01239,B01,SULTAN PLAZA
17269,B01,BLK 730
46521,B06,MARSILING STN
47599,NIL,BLK 683A
11291,B17,COLD STORAGE JELITA
11531,B12,OPP LEA HIN HARDWARE FTY
60261,B01A,POTONG PASIR STN
95151,B01,AIRPORT POLICE STN
13081,B10,AIRVIEW TWR
21381,B01,ST JOSEPH'S HOME
71169,B01,AZTECH BLDG
43831,B02A,BLK 334
96061,B13,OPP MERA TERR P/G
09011,B01,OPP NGEE ANN CITY
77259,B20,OPP BLK 713
66109,B02,BLK 151
11541,B01,BLK 175
43631,B01,YWMA KINDERGARTEN
30011,B24,TENGAH AIR BASE
NIL,B05,WOODLANDS AVE 10
53349,B05,BISHAN PK SEC SCH
62109,B09,AFT UPP S'GOON RD
15109,B07,LP 30
31169,B31,TEEN CHALLENGE
76231,B11,TAMPINES JC
25379,NIL,AFT TUAS AVE 6
45101,B25,AFT LP 234
43041,B11,HUME PK CONDO
64121,B19,AFT ANG MO KIO AVE 5
54201,B05,OPP BLK 155
93089,B04,OPP GOODWILL CT
56191,B54,OPP NPB S'GOON DEPOT
51069,B22,MT ALVERNIA HOSP
42111,B05,AFT CT BT TIMAH
94049,B16,FAIRVIEW CT
28161,B11,BEF HONG KAH FLYOVER
77131,B01,BLK 502
21421,B03,BLK 176
10659,B02,BLK 1003
42011,B35,SIXTH AVE CTR
31059,B01,AFT CHR CEMY PATH 3
31149,B35,OPP BAHAI CEMY
09059,B01,NATL YOUTH COUNCIL
54481,B14,OPP ANG MO KIO ITE
13031,B06,HSE NO 305
12199,B03,OPP VILLAGE TWRS
67479,B01,BEF FERNVALE LINK
78111,B09,BLK 479
65229,B03,BLK 298
85101,B01,AFT BEDOK RD
22571,B29,OPP BOON LAY STN
64129,B20,BEF BLK 965
28689,B04,
10419,B02,BLK 52
NIL,NIL,JALAN AHMAD IBRAHIM
78231,B01,OPP BLK 482
63389,B14,OPP XINMIN PR SCH
90021,B06,PEBBLE BAY
22069,B06,COOLING SYS PTE LTD
32071,B23,AFT TRACK 13
85099,B14,TANAH MERAH STN
44331,B01,BLK 239
11561,B05,BLK 166
76141,B09,TAMPINES STN/INT
66191,B03,S'GOON GDN SCH
30091,B01,CHENGTAI NURSERY
23389,B02A,ASIA CEMENT PTE LTD
54411,B02,BLK 527
28531,B09,BLK 536
96139,B01,BLK 148
23151,B16,CONTAINERS PRINTERS
42089,B02,OPP BT TIMAH PLAZA
25099,B02,OPTO-PHARM
46261,B09,BLK 808
10339,B05,AFT BT MERAH CTRL
50011,B03,OPP PARISH OF CHRIST CH
43659,B01,ST ANTHONY'S PR SCH
78221,B06,
63359,B01,HOUGANG SWIM CPLX
64141,B13,AFT JLN TELAWI
83139,B07,AFT JOO CHIAT PL
80101,B01,OPP BLK 2C
54079,B10,OPP BLK 315
55231,B02,OPP SBST EAST DISTRICT
55351,B03,OPP FUDU WALK P/G
92089,B10,CHIJ KATONG CON
58239,B22,CANBERRA LINK
97089,B02,OPP SELARANG PK DRUG REH.
77099,B06,BEF PASIR RIS AVE
21391,B06,RIVER VALLEY HIGH SCH
08137,B08,ORCHARD PLAZA
51059,B20,Opp MediaCorp
49249,B08,DRAGON FISH IND
95099,B01,CHANGI INTL EXH CTR
16051,B25,THE CRYSTAL TABERNACLE CH
98099,B02,BLK 269A
58019,B22,AFT SEMBAWANG SHOP CTR
08111,B03,WINSLAND HSE
20251,B01,BEF TEBAN GDNS RD
68131,B09,OPP BLK 532
11101,B09,FARRER RD MKT
14281,B06,OPP BLK 11
55509,NIL,YIO CHU KANG TER
50059,B10,OPP THOMSON MED CTR
25119,B12,SIN HIAP CHUAN HARDWARE
46451,B08,OPP BLK 872
67381,NIL,OPP BLK 317B
53391,B01,OPP BLK 203
78071,B02,BLK 446
44369,NIL,AFT DAIRY FARM RD
20281,B23,OPP THE JAPANESE SEC SCH
75169,B04,OPP BLK 853
10421,B06,BLK 63B
70349,B01,BEF LOR BAKAR BATU
56041,B25,OPP GREEN MEADOWS CONDO
30049,B17,HOME TEAM ACADEMY
62121,B11,AFT WOLSKEL RD
40261,B03,LP 52
91121,NIL,HSE 189
44091,B06,OPP FORMER KEAT HONG CAMP
94029,B10,EAST COAST VILLE
78279,NIL,OPP LOYANG TOWNHOUSE
92041,B01,OPP PARKWAY PARADE
02151,B04,SUNTEC CONVENTION CTR
28349,B16,OPP CHINESE GDN STN
46561,B04,
43309,B01,HILLBROOKS
60059,B01,BEF KALLANG PL
25221,B41,RAFFLES COUNTRY CLUB
26201,B13,ISK S'PORE
64221,B09,AFT FISH FARM RD 1
46191,B02,BLK 7
